cliente_id,nombre,edad,genero,ubicacion
251,Cliente_251,61,F,Puebla
252,Cliente_252,42,Otro,Guadalajara
253,Cliente_253,34,Otro,CDMX
254,Cliente_254,53,Otro,Puebla
255,Cliente_255,55,M,CDMX
256,Cliente_256,30,F,Monterrey
257,Cliente_257,35,Otro,Puebla
258,Cliente_258,49,Otro,Puebla
259,Cliente_259,21,M,Tijuana
260,Cliente_260,45,F,Monterrey
261,Cliente_261,37,Otro,Monterrey
262,Cliente_262,44,F,Guadalajara
263,Cliente_263,60,Otro,Puebla
264,Cliente_264,39,Otro,Puebla
265,Cliente_265,27,M,Tijuana
266,Cliente_266,28,F,CDMX
267,Cliente_267,19,M,Monterrey
268,Cliente_268,26,F,Puebla
269,Cliente_269,19,M,Monterrey
270,Cliente_270,51,M,CDMX
271,Cliente_271,44,F,Monterrey
272,Cliente_272,61,Otro,Tijuana
273,Cliente_273,69,M,CDMX
274,Cliente_274,55,F,CDMX
275,Cliente_275,41,Otro,Guadalajara
276,Cliente_276,58,M,Monterrey
277,Cliente_277,29,F,Tijuana
278,Cliente_278,41,F,Guadalajara
279,Cliente_279,58,M,CDMX
280,Cliente_280,36,F,Tijuana
281,Cliente_281,57,F,Puebla
282,Cliente_282,63,Otro,Puebla
283,Cliente_283,56,M,Monterrey
284,Cliente_284,39,M,Guadalajara
285,Cliente_285,20,Otro,Guadalajara
286,Cliente_286,35,M,Tijuana
287,Cliente_287,24,F,CDMX
288,Cliente_288,54,F,CDMX
289,Cliente_289,25,Otro,Monterrey
290,Cliente_290,29,M,Monterrey
291,Cliente_291,68,F,Monterrey
292,Cliente_292,24,F,Monterrey
294,Cliente_294,32,Otro,Guadalajara
295,Cliente_295,38,Otro,Tijuana
296,Cliente_296,37,Otro,CDMX
297,Cliente_297,31,F,Guadalajara
298,Cliente_298,57,Otro,Monterrey
299,Cliente_299,20,Otro,Guadalajara
300,Cliente_300,58,M,Puebla
301,Cliente_301,39,F,Monterrey
302,Cliente_302,44,F,Guadalajara
303,Cliente_303,47,F,Tijuana
304,Cliente_304,31,M,Tijuana
305,Cliente_305,28,Otro,Tijuana
306,Cliente_306,69,Otro,Monterrey
307,Cliente_307,25,M,Guadalajara
308,Cliente_308,23,Otro,Guadalajara
309,Cliente_309,67,M,Tijuana
310,Cliente_310,21,Otro,CDMX
311,Cliente_311,53,F,Monterrey
312,Cliente_312,27,F,Tijuana
313,Cliente_313,29,Otro,Guadalajara
314,Cliente_314,57,Otro,Monterrey
315,Cliente_315,31,M,Monterrey
316,Cliente_316,64,M,Tijuana
317,Cliente_317,46,M,Puebla
318,Cliente_318,19,M,Puebla
319,Cliente_319,25,M,Tijuana
320,Cliente_320,31,F,Guadalajara
321,Cliente_321,27,F,Monterrey
322,Cliente_322,20,F,Puebla
323,Cliente_323,46,Otro,Puebla
324,Cliente_324,21,F,Tijuana
325,Cliente_325,37,F,Guadalajara
326,Cliente_326,67,F,Puebla
327,Cliente_327,35,M,Puebla
328,Cliente_328,30,M,Monterrey
329,Cliente_329,19,M,Guadalajara
330,Cliente_330,45,Otro,Tijuana
331,Cliente_331,34,M,Monterrey
332,Cliente_332,59,M,Tijuana
334,Cliente_334,63,F,Puebla
335,Cliente_335,50,M,Monterrey
337,Cliente_337,27,F,Guadalajara
338,Cliente_338,61,F,CDMX
339,Cliente_339,50,M,CDMX
340,Cliente_340,42,F,Monterrey
341,Cliente_341,55,F,Guadalajara
342,Cliente_342,63,Otro,Guadalajara
343,Cliente_343,47,M,Monterrey
344,Cliente_344,19,F,CDMX
345,Cliente_345,50,M,Monterrey
346,Cliente_346,69,F,Guadalajara
347,Cliente_347,24,Otro,Guadalajara
348,Cliente_348,65,F,Monterrey
349,Cliente_349,34,F,Tijuana
350,Cliente_350,51,M,Puebla
351,Cliente_351,58,M,Puebla
352,Cliente_352,35,Otro,Monterrey
353,Cliente_353,53,F,Tijuana
354,Cliente_354,69,M,Puebla
355,Cliente_355,46,M,Monterrey
356,Cliente_356,23,M,Puebla
357,Cliente_357,66,F,Puebla
358,Cliente_358,50,Otro,Guadalajara
359,Cliente_359,32,Otro,Puebla
360,Cliente_360,59,F,Monterrey
361,Cliente_361,23,Otro,CDMX
362,Cliente_362,49,Otro,Tijuana
363,Cliente_363,55,Otro,CDMX
364,Cliente_364,66,F,Guadalajara
366,Cliente_366,63,M,CDMX
367,Cliente_367,37,M,Guadalajara
368,Cliente_368,51,M,Puebla
369,Cliente_369,36,M,CDMX
370,Cliente_370,68,Otro,Guadalajara
371,Cliente_371,23,M,CDMX
372,Cliente_372,67,Otro,Monterrey
373,Cliente_373,55,F,Monterrey
374,Cliente_374,50,Otro,Puebla
375,Cliente_375,27,F,Monterrey
376,Cliente_376,25,Otro,Guadalajara
377,Cliente_377,49,M,Puebla
378,Cliente_378,51,Otro,Guadalajara
379,Cliente_379,67,M,Puebla
380,Cliente_380,66,F,Monterrey
381,Cliente_381,28,M,Monterrey
383,Cliente_383,58,F,CDMX
384,Cliente_384,43,M,Puebla
385,Cliente_385,69,M,Puebla
386,Cliente_386,67,Otro,Guadalajara
387,Cliente_387,59,F,Puebla
388,Cliente_388,66,F,CDMX
389,Cliente_389,44,M,CDMX
390,Cliente_390,20,Otro,Monterrey
391,Cliente_391,41,M,Puebla
392,Cliente_392,56,M,CDMX
393,Cliente_393,48,F,Guadalajara
394,Cliente_394,63,Otro,Monterrey
395,Cliente_395,57,F,Monterrey
396,Cliente_396,50,F,Puebla
397,Cliente_397,38,F,Guadalajara
398,Cliente_398,65,Otro,Guadalajara
399,Cliente_399,39,M,Guadalajara
400,Cliente_400,65,F,Puebla
401,Cliente_401,33,F,Puebla
402,Cliente_402,25,Otro,Monterrey
403,Cliente_403,57,F,Monterrey
404,Cliente_404,30,Otro,Tijuana
405,Cliente_405,64,Otro,Tijuana
407,Cliente_407,49,M,CDMX
408,Cliente_408,34,F,Monterrey
409,Cliente_409,41,M,Guadalajara
410,Cliente_410,67,F,Guadalajara
411,Cliente_411,39,Otro,CDMX
412,Cliente_412,44,F,Tijuana
413,Cliente_413,24,F,Puebla
414,Cliente_414,20,Otro,Tijuana
415,Cliente_415,60,F,Guadalajara
416,Cliente_416,20,Otro,Monterrey
417,Cliente_417,62,Otro,Puebla
418,Cliente_418,53,Otro,Guadalajara
419,Cliente_419,24,F,Monterrey
420,Cliente_420,52,M,Tijuana
421,Cliente_421,37,Otro,Puebla
422,Cliente_422,44,F,CDMX
423,Cliente_423,47,F,Guadalajara
424,Cliente_424,34,Otro,Tijuana
425,Cliente_425,44,Otro,Tijuana
426,Cliente_426,65,Otro,Guadalajara
427,Cliente_427,29,M,Tijuana
428,Cliente_428,21,Otro,Guadalajara
429,Cliente_429,66,Otro,Tijuana
430,Cliente_430,23,Otro,Monterrey
431,Cliente_431,25,Otro,Guadalajara
432,Cliente_432,50,F,Guadalajara
433,Cliente_433,35,M,Tijuana
434,Cliente_434,36,M,Guadalajara
435,Cliente_435,30,Otro,Puebla
436,Cliente_436,56,F,Tijuana
437,Cliente_437,34,M,Guadalajara
438,Cliente_438,33,F,Tijuana
439,Cliente_439,47,M,Puebla
440,Cliente_440,39,F,Tijuana
441,Cliente_441,58,Otro,CDMX
442,Cliente_442,40,Otro,CDMX
443,Cliente_443,46,M,Monterrey
444,Cliente_444,44,Otro,CDMX
445,Cliente_445,48,Otro,CDMX
446,Cliente_446,35,F,Guadalajara
447,Cliente_447,54,M,Puebla
448,Cliente_448,38,Otro,Guadalajara
449,Cliente_449,21,M,Guadalajara
450,Cliente_450,44,M,Puebla
451,Cliente_451,30,Otro,Guadalajara
452,Cliente_452,20,M,Puebla
453,Cliente_453,22,M,CDMX
454,Cliente_454,61,Otro,CDMX
455,Cliente_455,44,F,Tijuana
456,Cliente_456,64,F,Guadalajara
457,Cliente_457,64,Otro,CDMX
458,Cliente_458,32,M,Puebla
460,Cliente_460,69,M,Tijuana
461,Cliente_461,67,Otro,Puebla
462,Cliente_462,61,M,Puebla
463,Cliente_463,38,Otro,Guadalajara
464,Cliente_464,60,Otro,Puebla
465,Cliente_465,35,F,Tijuana
466,Cliente_466,34,F,Tijuana
467,Cliente_467,55,M,CDMX
468,Cliente_468,29,Otro,Monterrey
469,Cliente_469,41,F,Guadalajara
470,Cliente_470,39,F,CDMX
471,Cliente_471,46,Otro,Tijuana
472,Cliente_472,59,F,Monterrey
473,Cliente_473,38,F,CDMX
474,Cliente_474,25,M,CDMX
475,Cliente_475,61,M,CDMX
476,Cliente_476,54,Otro,Tijuana
477,Cliente_477,51,Otro,Monterrey
478,Cliente_478,33,F,Guadalajara
479,Cliente_479,49,M,CDMX
480,Cliente_480,59,F,Monterrey
481,Cliente_481,54,F,CDMX
482,Cliente_482,46,M,Guadalajara
483,Cliente_483,55,F,CDMX
484,Cliente_484,48,Otro,CDMX
485,Cliente_485,54,F,CDMX
486,Cliente_486,53,F,Tijuana
487,Cliente_487,25,Otro,Puebla
488,Cliente_488,53,Otro,CDMX
489,Cliente_489,23,Otro,Puebla
490,Cliente_490,44,Otro,Tijuana
491,Cliente_491,67,M,Guadalajara
492,Cliente_492,33,Otro,CDMX
493,Cliente_493,35,M,Tijuana
494,Cliente_494,43,Otro,Guadalajara
495,Cliente_495,69,F,Puebla
496,Cliente_496,56,M,Monterrey
497,Cliente_497,57,M,Monterrey
498,Cliente_498,39,M,Monterrey
499,Cliente_499,60,Otro,Monterrey
500,Cliente_500,21,M,Monterrey
501,Cliente_501,56,F,Monterrey
503,Cliente_503,45,Otro,Guadalajara
504,Cliente_504,40,Otro,Tijuana
505,Cliente_505,65,Otro,Tijuana
506,Cliente_506,20,F,Monterrey
507,Cliente_507,62,Otro,Guadalajara
508,Cliente_508,56,F,CDMX
510,Cliente_510,42,M,Monterrey
511,Cliente_511,44,F,Tijuana
512,Cliente_512,51,M,Monterrey
513,Cliente_513,69,M,Guadalajara
514,Cliente_514,47,M,Puebla
515,Cliente_515,25,F,Tijuana
516,Cliente_516,21,Otro,Monterrey
517,Cliente_517,34,F,Monterrey
518,Cliente_518,38,F,CDMX
519,Cliente_519,24,Otro,CDMX
520,Cliente_520,58,F,Monterrey
521,Cliente_521,45,F,Tijuana
522,Cliente_522,22,M,Puebla
523,Cliente_523,44,Otro,Monterrey
524,Cliente_524,56,F,Monterrey
525,Cliente_525,27,M,Monterrey
526,Cliente_526,19,Otro,CDMX
527,Cliente_527,27,Otro,Tijuana
528,Cliente_528,29,F,Monterrey
529,Cliente_529,41,Otro,Puebla
530,Cliente_530,57,M,CDMX
531,Cliente_531,47,Otro,Monterrey
532,Cliente_532,62,M,Guadalajara
533,Cliente_533,50,F,Puebla
534,Cliente_534,58,Otro,Guadalajara
535,Cliente_535,52,Otro,CDMX
536,Cliente_536,63,M,Monterrey
537,Cliente_537,41,F,Puebla
538,Cliente_538,65,F,Tijuana
539,Cliente_539,56,M,Tijuana
540,Cliente_540,24,Otro,Guadalajara
542,Cliente_542,29,M,CDMX
543,Cliente_543,58,Otro,Puebla
544,Cliente_544,69,Otro,CDMX
545,Cliente_545,35,Otro,Tijuana
546,Cliente_546,49,Otro,Tijuana
547,Cliente_547,60,F,Puebla
548,Cliente_548,40,F,Tijuana
549,Cliente_549,35,F,Guadalajara
550,Cliente_550,49,Otro,Guadalajara
551,Cliente_551,50,F,CDMX
552,Cliente_552,24,Otro,Puebla
553,Cliente_553,56,M,Monterrey
554,Cliente_554,52,F,Monterrey
555,Cliente_555,49,F,Guadalajara
556,Cliente_556,46,Otro,Monterrey
557,Cliente_557,48,M,CDMX
559,Cliente_559,31,Otro,Tijuana
560,Cliente_560,61,F,Guadalajara
561,Cliente_561,56,Otro,Monterrey
562,Cliente_562,67,M,Tijuana
563,Cliente_563,22,M,Puebla
564,Cliente_564,26,F,Guadalajara
565,Cliente_565,31,M,CDMX
566,Cliente_566,64,M,CDMX
567,Cliente_567,65,M,Puebla
568,Cliente_568,36,Otro,Guadalajara
569,Cliente_569,69,F,Guadalajara
570,Cliente_570,57,M,CDMX
571,Cliente_571,40,F,Tijuana
572,Cliente_572,54,F,CDMX
573,Cliente_573,43,M,CDMX
574,Cliente_574,62,M,Tijuana
575,Cliente_575,38,F,Monterrey
576,Cliente_576,47,Otro,Guadalajara
577,Cliente_577,35,Otro,CDMX
578,Cliente_578,68,F,Puebla
579,Cliente_579,35,M,Monterrey
580,Cliente_580,39,Otro,CDMX
581,Cliente_581,24,M,Monterrey
582,Cliente_582,66,M,CDMX
583,Cliente_583,19,M,Guadalajara
584,Cliente_584,40,Otro,CDMX
585,Cliente_585,19,M,Puebla
586,Cliente_586,25,Otro,Puebla
587,Cliente_587,21,M,Guadalajara
589,Cliente_589,65,M,Tijuana
590,Cliente_590,42,F,Monterrey
591,Cliente_591,23,F,CDMX
592,Cliente_592,46,F,Guadalajara
593,Cliente_593,40,F,Guadalajara
594,Cliente_594,59,F,Puebla
595,Cliente_595,38,F,Puebla
596,Cliente_596,63,Otro,Puebla
597,Cliente_597,35,M,Guadalajara
598,Cliente_598,32,F,Tijuana
599,Cliente_599,40,F,CDMX
600,Cliente_600,43,F,Monterrey
601,Cliente_601,50,Otro,Monterrey
602,Cliente_602,49,F,CDMX
603,Cliente_603,20,M,Monterrey
604,Cliente_604,50,F,CDMX
605,Cliente_605,42,F,Puebla
606,Cliente_606,33,Otro,Monterrey
607,Cliente_607,43,F,Guadalajara
608,Cliente_608,48,F,Tijuana
609,Cliente_609,20,Otro,Puebla
610,Cliente_610,25,Otro,Puebla
611,Cliente_611,40,Otro,Monterrey
612,Cliente_612,38,Otro,Guadalajara
613,Cliente_613,46,Otro,Guadalajara
614,Cliente_614,56,M,CDMX
615,Cliente_615,49,Otro,Puebla
616,Cliente_616,53,M,Monterrey
617,Cliente_617,62,Otro,CDMX
618,Cliente_618,34,F,CDMX
619,Cliente_619,38,M,Monterrey
620,Cliente_620,56,Otro,Tijuana
621,Cliente_621,40,F,Tijuana
622,Cliente_622,64,Otro,Tijuana
623,Cliente_623,40,Otro,Monterrey
624,Cliente_624,59,Otro,Guadalajara
625,Cliente_625,61,M,Tijuana
626,Cliente_626,56,F,Guadalajara
627,Cliente_627,40,M,Guadalajara
628,Cliente_628,25,Otro,Puebla
629,Cliente_629,50,F,Puebla
630,Cliente_630,44,M,Puebla
631,Cliente_631,63,M,Tijuana
632,Cliente_632,37,F,Tijuana
633,Cliente_633,42,F,Guadalajara
634,Cliente_634,40,Otro,Guadalajara
635,Cliente_635,25,Otro,Monterrey
636,Cliente_636,43,Otro,CDMX
637,Cliente_637,66,M,CDMX
638,Cliente_638,43,M,Monterrey
639,Cliente_639,32,F,CDMX
640,Cliente_640,61,M,CDMX
641,Cliente_641,60,F,Tijuana
642,Cliente_642,58,Otro,Guadalajara
643,Cliente_643,26,Otro,Puebla
644,Cliente_644,49,Otro,Monterrey
645,Cliente_645,41,Otro,Tijuana
646,Cliente_646,20,Otro,Puebla
647,Cliente_647,38,F,CDMX
648,Cliente_648,36,Otro,Tijuana
649,Cliente_649,68,M,Guadalajara
650,Cliente_650,42,Otro,Guadalajara
651,Cliente_651,34,F,CDMX
652,Cliente_652,47,F,Guadalajara
653,Cliente_653,51,M,Guadalajara
654,Cliente_654,23,F,Tijuana
655,Cliente_655,44,Otro,Guadalajara
656,Cliente_656,25,Otro,CDMX
658,Cliente_658,24,Otro,Guadalajara
659,Cliente_659,41,Otro,Monterrey
660,Cliente_660,59,F,Puebla
661,Cliente_661,26,M,Tijuana
662,Cliente_662,39,M,Guadalajara
663,Cliente_663,30,M,Puebla
664,Cliente_664,52,F,Monterrey
665,Cliente_665,38,M,Guadalajara
666,Cliente_666,27,F,Tijuana
667,Cliente_667,68,Otro,Tijuana
668,Cliente_668,23,F,Puebla
669,Cliente_669,28,F,Monterrey
670,Cliente_670,48,Otro,CDMX
671,Cliente_671,42,M,Tijuana
672,Cliente_672,23,Otro,Guadalajara
673,Cliente_673,60,F,CDMX
674,Cliente_674,31,F,Puebla
675,Cliente_675,44,F,Monterrey
676,Cliente_676,50,M,Guadalajara
677,Cliente_677,69,M,Monterrey
678,Cliente_678,58,Otro,Puebla
679,Cliente_679,40,M,CDMX
680,Cliente_680,32,M,Tijuana
681,Cliente_681,23,F,Tijuana
682,Cliente_682,25,F,CDMX
683,Cliente_683,42,Otro,CDMX
684,Cliente_684,43,F,CDMX
685,Cliente_685,64,F,Guadalajara
686,Cliente_686,54,M,Tijuana
687,Cliente_687,53,Otro,Tijuana
688,Cliente_688,55,F,Guadalajara
689,Cliente_689,42,M,Tijuana
690,Cliente_690,45,Otro,Tijuana
691,Cliente_691,60,Otro,Puebla
692,Cliente_692,47,M,Guadalajara
693,Cliente_693,44,F,Guadalajara
694,Cliente_694,55,M,Guadalajara
695,Cliente_695,34,M,CDMX
696,Cliente_696,50,M,CDMX
697,Cliente_697,64,F,Tijuana
698,Cliente_698,46,Otro,Tijuana
699,Cliente_699,69,M,Tijuana
700,Cliente_700,54,M,CDMX
701,Cliente_701,68,F,Guadalajara
702,Cliente_702,64,F,Tijuana
703,Cliente_703,21,Otro,Puebla
704,Cliente_704,64,F,Tijuana
705,Cliente_705,50,M,Tijuana
706,Cliente_706,61,F,CDMX
707,Cliente_707,60,F,CDMX
708,Cliente_708,42,Otro,Puebla
709,Cliente_709,22,Otro,CDMX
710,Cliente_710,68,M,Monterrey
711,Cliente_711,64,F,CDMX
712,Cliente_712,22,Otro,CDMX
714,Cliente_714,40,M,Puebla
715,Cliente_715,42,F,Monterrey
716,Cliente_716,63,M,Guadalajara
717,Cliente_717,29,Otro,Tijuana
718,Cliente_718,38,Otro,Puebla
719,Cliente_719,36,F,Monterrey
720,Cliente_720,65,Otro,Tijuana
721,Cliente_721,47,F,Puebla
722,Cliente_722,43,Otro,Puebla
723,Cliente_723,31,F,Puebla
724,Cliente_724,57,Otro,CDMX
725,Cliente_725,54,F,Guadalajara
726,Cliente_726,57,Otro,CDMX
727,Cliente_727,53,F,Tijuana
728,Cliente_728,64,F,Guadalajara
729,Cliente_729,66,M,Monterrey
730,Cliente_730,20,Otro,Monterrey
731,Cliente_731,37,M,Monterrey
732,Cliente_732,50,Otro,Guadalajara
733,Cliente_733,35,Otro,CDMX
734,Cliente_734,36,Otro,CDMX
735,Cliente_735,41,F,Guadalajara
736,Cliente_736,64,F,Monterrey
