proveedor_id,nombre_proveedor,contacto,ubicacion
119,Proveedor_119,contacto119@empresa.com,Puebla
120,Proveedor_120,contacto120@empresa.com,Tijuana
121,Proveedor_121,contacto121@empresa.com,Puebla
122,Proveedor_122,contacto122@empresa.com,CDMX
123,Proveedor_123,contacto123@empresa.com,Tijuana
124,Proveedor_124,contacto124@empresa.com,Monterrey
125,Proveedor_125,contacto125@empresa.com,Tijuana
126,Proveedor_126,contacto126@empresa.com,CDMX
127,Proveedor_127,contacto127@empresa.com,Guadalajara
128,Proveedor_128,contacto128@empresa.com,Guadalajara
129,Proveedor_129,contacto129@empresa.com,Tijuana
130,Proveedor_130,contacto130@empresa.com,Monterrey
131,Proveedor_131,contacto131@empresa.com,Guadalajara
132,Proveedor_132,contacto132@empresa.com,Puebla
134,Proveedor_134,contacto134@empresa.com,Monterrey
135,Proveedor_135,contacto135@empresa.com,Guadalajara
136,Proveedor_136,contacto136@empresa.com,CDMX
137,Proveedor_137,contacto137@empresa.com,Monterrey
138,Proveedor_138,contacto138@empresa.com,Guadalajara
139,Proveedor_139,contacto139@empresa.com,Guadalajara
140,Proveedor_140,contacto140@empresa.com,Puebla
141,Proveedor_141,contacto141@empresa.com,Puebla
142,Proveedor_142,contacto142@empresa.com,Monterrey
143,Proveedor_143,contacto143@empresa.com,Monterrey
144,Proveedor_144,contacto144@empresa.com,Tijuana
145,Proveedor_145,contacto145@empresa.com,Tijuana
146,Proveedor_146,contacto146@empresa.com,Monterrey
147,Proveedor_147,contacto147@empresa.com,CDMX
148,Proveedor_148,contacto148@empresa.com,Guadalajara
149,Proveedor_149,contacto149@empresa.com,Tijuana
150,Proveedor_150,contacto150@empresa.com,Monterrey
151,Proveedor_151,contacto151@empresa.com,Tijuana
152,Proveedor_152,contacto152@empresa.com,CDMX
153,Proveedor_153,contacto153@empresa.com,Tijuana
154,Proveedor_154,contacto154@empresa.com,Tijuana
155,Proveedor_155,contacto155@empresa.com,Monterrey
156,Proveedor_156,contacto156@empresa.com,Guadalajara
157,Proveedor_157,contacto157@empresa.com,Guadalajara
158,Proveedor_158,contacto158@empresa.com,CDMX
159,Proveedor_159,contacto159@empresa.com,CDMX
160,Proveedor_160,contacto160@empresa.com,Monterrey
161,Proveedor_161,contacto161@empresa.com,Monterrey
162,Proveedor_162,contacto162@empresa.com,Puebla
163,Proveedor_163,contacto163@empresa.com,Monterrey
164,Proveedor_164,contacto164@empresa.com,Monterrey
165,Proveedor_165,contacto165@empresa.com,Monterrey
166,Proveedor_166,contacto166@empresa.com,Tijuana
167,Proveedor_167,contacto167@empresa.com,Puebla
168,Proveedor_168,contacto168@empresa.com,Puebla
169,Proveedor_169,contacto169@empresa.com,Tijuana
170,Proveedor_170,contacto170@empresa.com,CDMX
171,Proveedor_171,contacto171@empresa.com,Monterrey
172,Proveedor_172,contacto172@empresa.com,Puebla
173,Proveedor_173,contacto173@empresa.com,Monterrey
174,Proveedor_174,contacto174@empresa.com,Monterrey
175,Proveedor_175,contacto175@empresa.com,CDMX
176,Proveedor_176,contacto176@empresa.com,Guadalajara
177,Proveedor_177,contacto177@empresa.com,Puebla
178,Proveedor_178,contacto178@empresa.com,Tijuana
179,Proveedor_179,contacto179@empresa.com,Tijuana
180,Proveedor_180,contacto180@empresa.com,Tijuana
181,Proveedor_181,contacto181@empresa.com,CDMX
182,Proveedor_182,contacto182@empresa.com,Monterrey
183,Proveedor_183,contacto183@empresa.com,Tijuana
184,Proveedor_184,contacto184@empresa.com,Tijuana
185,Proveedor_185,contacto185@empresa.com,Puebla
186,Proveedor_186,contacto186@empresa.com,Puebla
187,Proveedor_187,contacto187@empresa.com,Tijuana
188,Proveedor_188,contacto188@empresa.com,Guadalajara
189,Proveedor_189,contacto189@empresa.com,Puebla
190,Proveedor_190,contacto190@empresa.com,Guadalajara
191,Proveedor_191,contacto191@empresa.com,Tijuana
192,Proveedor_192,contacto192@empresa.com,Guadalajara
193,Proveedor_193,contacto193@empresa.com,Tijuana
194,Proveedor_194,contacto194@empresa.com,Monterrey
195,Proveedor_195,contacto195@empresa.com,Guadalajara
196,Proveedor_196,contacto196@empresa.com,Puebla
197,Proveedor_197,contacto197@empresa.com,Monterrey
198,Proveedor_198,contacto198@empresa.com,CDMX
199,Proveedor_199,contacto199@empresa.com,Puebla
