envio_id,venta_id,fecha_envio,proveedor_id,estado_envio
81,217193,2023-01-05 08:00:00,124,Retrasado
82,56291,2023-01-05 09:00:00,139,Cancelado
86,288348,2023-01-05 13:00:00,144,Cancelado
87,286869,2023-01-05 14:00:00,111,En tránsito
88,69398,2023-01-05 15:00:00,169,En tránsito
89,187565,2023-01-05 16:00:00,192,Entregado
91,402397,2023-01-05 18:00:00,109,En tránsito
92,408133,2023-01-05 19:00:00,193,Entregado
93,184029,2023-01-05 20:00:00,19,Cancelado
95,264181,2023-01-05 22:00:00,122,Retrasado
96,453772,2023-01-05 23:00:00,147,En tránsito
97,243330,2023-01-06 00:00:00,186,Cancelado
99,322053,2023-01-06 02:00:00,11,Cancelado
100,10692,2023-01-06 03:00:00,44,Cancelado
101,453706,2023-01-06 04:00:00,162,Retrasado
102,282282,2023-01-06 05:00:00,195,En tránsito
103,486280,2023-01-06 06:00:00,34,En tránsito
104,472553,2023-01-06 07:00:00,98,Entregado
105,285800,2023-01-06 08:00:00,49,En tránsito
106,299379,2023-01-06 09:00:00,8,En tránsito
107,356251,2023-01-06 10:00:00,35,Cancelado
108,156016,2023-01-06 11:00:00,80,Cancelado
109,122986,2023-01-06 12:00:00,68,En tránsito
110,390041,2023-01-06 13:00:00,155,En tránsito
111,336849,2023-01-06 14:00:00,196,Cancelado
112,103237,2023-01-06 15:00:00,20,Cancelado
113,491812,2023-01-06 16:00:00,158,En tránsito
114,486067,2023-01-06 17:00:00,150,Entregado
115,494407,2023-01-06 18:00:00,185,Entregado
116,419154,2023-01-06 19:00:00,156,En tránsito
117,453238,2023-01-06 20:00:00,46,Entregado
118,351495,2023-01-06 21:00:00,39,Entregado
119,319625,2023-01-06 22:00:00,10,En tránsito
120,314566,2023-01-06 23:00:00,196,Retrasado
121,420871,2023-01-07 00:00:00,144,Retrasado
123,317322,2023-01-07 02:00:00,73,Entregado
124,385368,2023-01-07 03:00:00,195,Entregado
125,386160,2023-01-07 04:00:00,101,Cancelado
126,124476,2023-01-07 05:00:00,138,Entregado
127,20149,2023-01-07 06:00:00,32,Cancelado
128,117711,2023-01-07 07:00:00,65,En tránsito
129,324727,2023-01-07 08:00:00,126,Retrasado
130,241521,2023-01-07 09:00:00,7,Retrasado
131,113274,2023-01-07 10:00:00,9,Cancelado
132,141836,2023-01-07 11:00:00,1,Retrasado
134,192926,2023-01-07 13:00:00,62,Cancelado
135,256104,2023-01-07 14:00:00,20,Retrasado
136,74804,2023-01-07 15:00:00,161,Retrasado
137,260594,2023-01-07 16:00:00,187,Cancelado
138,434959,2023-01-07 17:00:00,187,Retrasado
139,134270,2023-01-07 18:00:00,114,Entregado
140,427412,2023-01-07 19:00:00,156,Cancelado
141,47819,2023-01-07 20:00:00,159,Retrasado
142,303212,2023-01-07 21:00:00,38,En tránsito
143,2057,2023-01-07 22:00:00,41,Cancelado
144,31330,2023-01-07 23:00:00,146,En tránsito
146,236292,2023-01-08 01:00:00,31,Cancelado
147,378501,2023-01-08 02:00:00,157,Entregado
148,350707,2023-01-08 03:00:00,44,En tránsito
150,206927,2023-01-08 05:00:00,127,Cancelado
151,496643,2023-01-08 06:00:00,70,Cancelado
152,43331,2023-01-08 07:00:00,1,Cancelado
153,48744,2023-01-08 08:00:00,82,Retrasado
154,48373,2023-01-08 09:00:00,182,Entregado
155,238994,2023-01-08 10:00:00,22,Cancelado
156,366086,2023-01-08 11:00:00,75,En tránsito
157,281986,2023-01-08 12:00:00,188,Retrasado
158,276290,2023-01-08 13:00:00,193,Retrasado
159,483404,2023-01-08 14:00:00,59,En tránsito
160,93193,2023-01-08 15:00:00,174,Cancelado
161,176176,2023-01-08 16:00:00,199,Retrasado
163,405731,2023-01-08 18:00:00,98,Cancelado
164,363218,2023-01-08 19:00:00,130,Entregado
165,403226,2023-01-08 20:00:00,112,Retrasado
167,119035,2023-01-08 22:00:00,28,Entregado
168,61457,2023-01-08 23:00:00,37,Cancelado
169,1353,2023-01-09 00:00:00,194,Cancelado
170,140100,2023-01-09 01:00:00,60,Cancelado
171,228255,2023-01-09 02:00:00,97,Entregado
172,47422,2023-01-09 03:00:00,91,Cancelado
173,35820,2023-01-09 04:00:00,161,Entregado
174,228327,2023-01-09 05:00:00,77,Retrasado
176,438037,2023-01-09 07:00:00,104,Retrasado
177,2452,2023-01-09 08:00:00,109,Cancelado
178,430829,2023-01-09 09:00:00,109,Retrasado
179,364666,2023-01-09 10:00:00,19,Entregado
180,10812,2023-01-09 11:00:00,63,Retrasado
181,376805,2023-01-09 12:00:00,40,Cancelado
182,24866,2023-01-09 13:00:00,146,Retrasado
186,124266,2023-01-09 17:00:00,14,Retrasado
187,141845,2023-01-09 18:00:00,150,En tránsito
188,474988,2023-01-09 19:00:00,18,Cancelado
189,222246,2023-01-09 20:00:00,187,Cancelado
190,130130,2023-01-09 21:00:00,86,En tránsito
191,11115,2023-01-09 22:00:00,21,Entregado
192,357752,2023-01-09 23:00:00,88,Cancelado
193,223491,2023-01-10 00:00:00,104,Retrasado
194,360234,2023-01-10 01:00:00,28,Entregado
195,488923,2023-01-10 02:00:00,2,Cancelado
196,356244,2023-01-10 03:00:00,31,En tránsito
198,143929,2023-01-10 05:00:00,84,Cancelado
199,432299,2023-01-10 06:00:00,83,En tránsito
200,288894,2023-01-10 07:00:00,46,Retrasado
201,39820,2023-01-10 08:00:00,11,Retrasado
202,482232,2023-01-10 09:00:00,68,Cancelado
204,125708,2023-01-10 11:00:00,167,Cancelado
205,80126,2023-01-10 12:00:00,168,Entregado
206,230463,2023-01-10 13:00:00,175,Retrasado
207,220960,2023-01-10 14:00:00,45,Retrasado
208,276328,2023-01-10 15:00:00,144,Entregado
209,74417,2023-01-10 16:00:00,130,Entregado
210,391166,2023-01-10 17:00:00,110,Cancelado
211,217763,2023-01-10 18:00:00,161,Cancelado
212,117003,2023-01-10 19:00:00,38,En tránsito
213,162852,2023-01-10 20:00:00,96,En tránsito
214,129318,2023-01-10 21:00:00,137,Retrasado
215,130213,2023-01-10 22:00:00,152,Retrasado
216,4704,2023-01-10 23:00:00,4,En tránsito
217,458776,2023-01-11 00:00:00,40,Cancelado
218,347595,2023-01-11 01:00:00,58,En tránsito
219,321935,2023-01-11 02:00:00,119,Entregado
220,202220,2023-01-11 03:00:00,139,Entregado
222,494608,2023-01-11 05:00:00,48,En tránsito
223,239464,2023-01-11 06:00:00,7,Retrasado
224,481243,2023-01-11 07:00:00,154,Retrasado
225,161782,2023-01-11 08:00:00,15,En tránsito
226,411852,2023-01-11 09:00:00,63,En tránsito
227,142519,2023-01-11 10:00:00,47,Cancelado
229,15356,2023-01-11 12:00:00,5,Cancelado
230,492176,2023-01-11 13:00:00,26,Retrasado
231,269556,2023-01-11 14:00:00,13,Entregado
232,142667,2023-01-11 15:00:00,155,Entregado
233,332333,2023-01-11 16:00:00,24,Retrasado
234,198143,2023-01-11 17:00:00,122,Entregado
235,494070,2023-01-11 18:00:00,119,Cancelado
236,153063,2023-01-11 19:00:00,151,En tránsito
237,339991,2023-01-11 20:00:00,168,Entregado
238,177412,2023-01-11 21:00:00,99,En tránsito
239,433560,2023-01-11 22:00:00,190,Entregado
240,239586,2023-01-11 23:00:00,16,Retrasado
241,220300,2023-01-12 00:00:00,123,Entregado
242,299656,2023-01-12 01:00:00,199,Retrasado
243,68769,2023-01-12 02:00:00,181,Entregado
244,497955,2023-01-12 03:00:00,17,En tránsito
246,70343,2023-01-12 05:00:00,148,Entregado
247,245840,2023-01-12 06:00:00,54,En tránsito
248,341998,2023-01-12 07:00:00,84,En tránsito
250,129477,2023-01-12 09:00:00,137,Cancelado
252,139241,2023-01-12 11:00:00,70,Retrasado
253,250043,2023-01-12 12:00:00,143,En tránsito
255,274807,2023-01-12 14:00:00,49,En tránsito
256,165911,2023-01-12 15:00:00,102,Entregado
257,425795,2023-01-12 16:00:00,65,En tránsito
258,63195,2023-01-12 17:00:00,39,Cancelado
259,182756,2023-01-12 18:00:00,31,Cancelado
260,162577,2023-01-12 19:00:00,35,Entregado
261,12397,2023-01-12 20:00:00,65,Entregado
262,15979,2023-01-12 21:00:00,35,Cancelado
263,187190,2023-01-12 22:00:00,27,Cancelado
264,249475,2023-01-12 23:00:00,53,En tránsito
265,485648,2023-01-13 00:00:00,194,Entregado
266,192597,2023-01-13 01:00:00,37,Entregado
267,180073,2023-01-13 02:00:00,1,Retrasado
268,255731,2023-01-13 03:00:00,14,Cancelado
269,160514,2023-01-13 04:00:00,43,Retrasado
272,241086,2023-01-13 07:00:00,123,Entregado
273,373721,2023-01-13 08:00:00,30,Entregado
276,377465,2023-01-13 11:00:00,101,Entregado
277,28971,2023-01-13 12:00:00,85,En tránsito
278,295435,2023-01-13 13:00:00,112,Entregado
279,457922,2023-01-13 14:00:00,92,Cancelado
280,86219,2023-01-13 15:00:00,191,Retrasado
282,98637,2023-01-13 17:00:00,92,Retrasado
283,377842,2023-01-13 18:00:00,93,Entregado
284,391487,2023-01-13 19:00:00,93,En tránsito
285,247696,2023-01-13 20:00:00,78,Cancelado
286,488314,2023-01-13 21:00:00,96,Cancelado
287,490583,2023-01-13 22:00:00,24,Entregado
288,59284,2023-01-13 23:00:00,123,Retrasado
289,386556,2023-01-14 00:00:00,38,Retrasado
290,415194,2023-01-14 01:00:00,60,En tránsito
291,490691,2023-01-14 02:00:00,28,Retrasado
293,115531,2023-01-14 04:00:00,165,Cancelado
294,480513,2023-01-14 05:00:00,106,Retrasado
296,341883,2023-01-14 07:00:00,20,Cancelado
297,151478,2023-01-14 08:00:00,118,Cancelado
299,467812,2023-01-14 10:00:00,72,Cancelado
300,375177,2023-01-14 11:00:00,197,En tránsito
301,284322,2023-01-14 12:00:00,195,En tránsito
303,205721,2023-01-14 14:00:00,58,Cancelado
304,418446,2023-01-14 15:00:00,22,Entregado
305,321436,2023-01-14 16:00:00,33,Retrasado
306,4698,2023-01-14 17:00:00,169,Cancelado
307,496017,2023-01-14 18:00:00,160,Entregado
308,370450,2023-01-14 19:00:00,24,En tránsito
310,342615,2023-01-14 21:00:00,162,Entregado
311,140466,2023-01-14 22:00:00,78,Retrasado
312,131847,2023-01-14 23:00:00,104,Entregado
313,153972,2023-01-15 00:00:00,89,Retrasado
314,283166,2023-01-15 01:00:00,109,Entregado
317,356543,2023-01-15 04:00:00,56,Retrasado
318,377387,2023-01-15 05:00:00,162,Entregado
319,239423,2023-01-15 06:00:00,136,Entregado
321,292427,2023-01-15 08:00:00,17,Entregado
322,180266,2023-01-15 09:00:00,187,Retrasado
323,125847,2023-01-15 10:00:00,88,Cancelado
324,419321,2023-01-15 11:00:00,21,Cancelado
325,398774,2023-01-15 12:00:00,92,Entregado
326,113146,2023-01-15 13:00:00,192,Cancelado
327,147544,2023-01-15 14:00:00,21,Entregado
328,342566,2023-01-15 15:00:00,86,Retrasado
329,196620,2023-01-15 16:00:00,172,Entregado
330,173244,2023-01-15 17:00:00,3,Cancelado
331,150706,2023-01-15 18:00:00,44,Cancelado
332,123303,2023-01-15 19:00:00,184,Entregado
333,16878,2023-01-15 20:00:00,170,Retrasado
334,345626,2023-01-15 21:00:00,50,Entregado
335,232553,2023-01-15 22:00:00,73,Entregado
336,60279,2023-01-15 23:00:00,1,Cancelado
337,345350,2023-01-16 00:00:00,20,Retrasado
338,259167,2023-01-16 01:00:00,55,Cancelado
339,103041,2023-01-16 02:00:00,18,Retrasado
343,32090,2023-01-16 06:00:00,159,Entregado
344,319076,2023-01-16 07:00:00,157,Entregado
345,174841,2023-01-16 08:00:00,5,Cancelado
346,439721,2023-01-16 09:00:00,80,En tránsito
347,466469,2023-01-16 10:00:00,59,En tránsito
348,381970,2023-01-16 11:00:00,135,En tránsito
349,455479,2023-01-16 12:00:00,102,Retrasado
350,92031,2023-01-16 13:00:00,183,En tránsito
351,305309,2023-01-16 14:00:00,180,Entregado
352,163155,2023-01-16 15:00:00,34,Cancelado
353,264226,2023-01-16 16:00:00,106,Retrasado
354,221421,2023-01-16 17:00:00,44,En tránsito
355,188969,2023-01-16 18:00:00,75,Cancelado
356,119397,2023-01-16 19:00:00,124,Retrasado
357,38786,2023-01-16 20:00:00,27,Entregado
358,439791,2023-01-16 21:00:00,53,Retrasado
359,493933,2023-01-16 22:00:00,37,Cancelado
360,118527,2023-01-16 23:00:00,104,Entregado
361,350058,2023-01-17 00:00:00,161,En tránsito
362,62696,2023-01-17 01:00:00,98,Cancelado
363,104774,2023-01-17 02:00:00,12,En tránsito
364,158036,2023-01-17 03:00:00,147,Retrasado
365,80677,2023-01-17 04:00:00,42,Retrasado
366,66569,2023-01-17 05:00:00,65,Entregado
367,265373,2023-01-17 06:00:00,92,En tránsito
368,370183,2023-01-17 07:00:00,154,Retrasado
369,318636,2023-01-17 08:00:00,1,Retrasado
370,429351,2023-01-17 09:00:00,81,Entregado
371,174702,2023-01-17 10:00:00,125,Cancelado
372,324424,2023-01-17 11:00:00,198,Retrasado
373,22042,2023-01-17 12:00:00,10,Retrasado
374,346615,2023-01-17 13:00:00,172,Cancelado
376,451604,2023-01-17 15:00:00,27,Retrasado
377,106081,2023-01-17 16:00:00,139,Retrasado
378,124029,2023-01-17 17:00:00,98,Entregado
379,18990,2023-01-17 18:00:00,24,En tránsito
380,117112,2023-01-17 19:00:00,163,Retrasado
381,106577,2023-01-17 20:00:00,18,En tránsito
382,24407,2023-01-17 21:00:00,82,En tránsito
383,468330,2023-01-17 22:00:00,178,Cancelado
384,482751,2023-01-17 23:00:00,169,Retrasado
386,340287,2023-01-18 01:00:00,145,En tránsito
387,17564,2023-01-18 02:00:00,85,En tránsito
388,339339,2023-01-18 03:00:00,82,Entregado
390,54889,2023-01-18 05:00:00,104,En tránsito
391,342120,2023-01-18 06:00:00,149,Retrasado
392,477325,2023-01-18 07:00:00,56,Entregado
393,199890,2023-01-18 08:00:00,130,Entregado
394,285365,2023-01-18 09:00:00,27,Retrasado
395,261440,2023-01-18 10:00:00,10,Entregado
396,353637,2023-01-18 11:00:00,70,En tránsito
397,245166,2023-01-18 12:00:00,4,Cancelado
398,356486,2023-01-18 13:00:00,143,Retrasado
399,496474,2023-01-18 14:00:00,47,En tránsito
400,482172,2023-01-18 15:00:00,117,Entregado
402,381359,2023-01-18 17:00:00,54,Retrasado
403,242531,2023-01-18 18:00:00,16,En tránsito
404,484948,2023-01-18 19:00:00,148,En tránsito
405,345352,2023-01-18 20:00:00,190,Cancelado
406,308152,2023-01-18 21:00:00,77,En tránsito
407,159627,2023-01-18 22:00:00,193,Entregado
408,250520,2023-01-18 23:00:00,43,Entregado
409,482423,2023-01-19 00:00:00,92,Entregado
411,150589,2023-01-19 02:00:00,123,En tránsito
412,167646,2023-01-19 03:00:00,185,En tránsito
413,423949,2023-01-19 04:00:00,116,Entregado
415,422101,2023-01-19 06:00:00,118,Retrasado
416,260112,2023-01-19 07:00:00,79,Retrasado
417,115891,2023-01-19 08:00:00,49,En tránsito
418,102258,2023-01-19 09:00:00,91,En tránsito
419,333951,2023-01-19 10:00:00,114,Retrasado
420,463418,2023-01-19 11:00:00,115,Retrasado
421,379126,2023-01-19 12:00:00,129,Entregado
422,229391,2023-01-19 13:00:00,192,Entregado
423,238659,2023-01-19 14:00:00,68,Entregado
424,373066,2023-01-19 15:00:00,84,En tránsito
425,484119,2023-01-19 16:00:00,143,Entregado
426,250414,2023-01-19 17:00:00,58,Entregado
427,257609,2023-01-19 18:00:00,39,Cancelado
428,466110,2023-01-19 19:00:00,171,Cancelado
429,463802,2023-01-19 20:00:00,61,En tránsito
430,405406,2023-01-19 21:00:00,8,Cancelado
431,394895,2023-01-19 22:00:00,175,Retrasado
432,475258,2023-01-19 23:00:00,43,Retrasado
433,499371,2023-01-20 00:00:00,158,Retrasado
435,6169,2023-01-20 02:00:00,5,En tránsito
436,6519,2023-01-20 03:00:00,166,Cancelado
441,477051,2023-01-20 08:00:00,17,Retrasado
442,385352,2023-01-20 09:00:00,2,Entregado
443,111384,2023-01-20 10:00:00,125,Retrasado
444,187836,2023-01-20 11:00:00,31,Cancelado
445,422113,2023-01-20 12:00:00,164,Cancelado
446,343921,2023-01-20 13:00:00,137,En tránsito
447,486498,2023-01-20 14:00:00,47,Cancelado
448,21247,2023-01-20 15:00:00,125,Entregado
449,91977,2023-01-20 16:00:00,56,Cancelado
450,449884,2023-01-20 17:00:00,167,Entregado
451,371916,2023-01-20 18:00:00,35,Entregado
452,164586,2023-01-20 19:00:00,161,Cancelado
453,224362,2023-01-20 20:00:00,121,Cancelado
454,260940,2023-01-20 21:00:00,70,Cancelado
456,130323,2023-01-20 23:00:00,83,Entregado
457,433194,2023-01-21 00:00:00,87,En tránsito
459,38321,2023-01-21 02:00:00,35,En tránsito
460,279982,2023-01-21 03:00:00,138,Entregado
461,189523,2023-01-21 04:00:00,135,En tránsito
462,188543,2023-01-21 05:00:00,197,Cancelado
463,108337,2023-01-21 06:00:00,53,Entregado
465,119129,2023-01-21 08:00:00,33,Cancelado
466,53196,2023-01-21 09:00:00,17,Retrasado
467,132222,2023-01-21 10:00:00,18,Cancelado
468,464806,2023-01-21 11:00:00,156,Entregado
469,354640,2023-01-21 12:00:00,75,Retrasado
470,392010,2023-01-21 13:00:00,140,Retrasado
472,257902,2023-01-21 15:00:00,101,En tránsito
473,42831,2023-01-21 16:00:00,79,Retrasado
474,125175,2023-01-21 17:00:00,57,Cancelado
475,180242,2023-01-21 18:00:00,57,En tránsito
476,10318,2023-01-21 19:00:00,192,Retrasado
478,352658,2023-01-21 21:00:00,51,Cancelado
479,418764,2023-01-21 22:00:00,199,En tránsito
480,435228,2023-01-21 23:00:00,119,En tránsito
481,281867,2023-01-22 00:00:00,30,En tránsito
483,229658,2023-01-22 02:00:00,98,Cancelado
485,86721,2023-01-22 04:00:00,83,Retrasado
486,161598,2023-01-22 05:00:00,188,Entregado
487,200103,2023-01-22 06:00:00,138,Cancelado
488,247935,2023-01-22 07:00:00,143,Cancelado
489,93802,2023-01-22 08:00:00,57,Entregado
490,326787,2023-01-22 09:00:00,15,Cancelado
491,495854,2023-01-22 10:00:00,70,En tránsito
495,146407,2023-01-22 14:00:00,126,Entregado
496,111083,2023-01-22 15:00:00,71,Cancelado
497,229183,2023-01-22 16:00:00,45,Cancelado
498,105969,2023-01-22 17:00:00,29,Cancelado
499,83552,2023-01-22 18:00:00,187,Retrasado
501,6480,2023-01-22 20:00:00,168,Entregado
502,156990,2023-01-22 21:00:00,151,Retrasado
503,12299,2023-01-22 22:00:00,21,Cancelado
504,368074,2023-01-22 23:00:00,128,Entregado
506,412872,2023-01-23 01:00:00,190,Retrasado
508,231657,2023-01-23 03:00:00,114,En tránsito
509,444668,2023-01-23 04:00:00,185,Entregado
510,331883,2023-01-23 05:00:00,116,Entregado
511,371798,2023-01-23 06:00:00,61,Retrasado
512,339418,2023-01-23 07:00:00,57,Retrasado
513,428340,2023-01-23 08:00:00,68,Cancelado
514,408801,2023-01-23 09:00:00,119,Cancelado
515,62598,2023-01-23 10:00:00,197,Cancelado
516,107946,2023-01-23 11:00:00,16,Retrasado
517,160188,2023-01-23 12:00:00,123,Cancelado
518,411210,2023-01-23 13:00:00,179,Retrasado
519,121683,2023-01-23 14:00:00,143,Retrasado
521,50627,2023-01-23 16:00:00,106,Retrasado
522,14649,2023-01-23 17:00:00,58,Cancelado
523,166922,2023-01-23 18:00:00,131,En tránsito
525,110774,2023-01-23 20:00:00,24,Retrasado
526,28528,2023-01-23 21:00:00,30,Entregado
527,184315,2023-01-23 22:00:00,59,Entregado
528,137118,2023-01-23 23:00:00,64,Retrasado
529,119202,2023-01-24 00:00:00,170,Retrasado
530,157412,2023-01-24 01:00:00,188,En tránsito
531,339362,2023-01-24 02:00:00,89,Entregado
532,101681,2023-01-24 03:00:00,181,En tránsito
534,46936,2023-01-24 05:00:00,32,Cancelado
535,327215,2023-01-24 06:00:00,130,Entregado
536,353608,2023-01-24 07:00:00,186,Cancelado
537,278513,2023-01-24 08:00:00,146,En tránsito
538,270291,2023-01-24 09:00:00,12,Retrasado
539,112265,2023-01-24 10:00:00,72,Retrasado
540,395028,2023-01-24 11:00:00,130,Cancelado
541,296466,2023-01-24 12:00:00,143,Cancelado
542,327204,2023-01-24 13:00:00,199,Entregado
543,5451,2023-01-24 14:00:00,57,Retrasado
544,301630,2023-01-24 15:00:00,28,Entregado
545,301122,2023-01-24 16:00:00,90,En tránsito
546,207351,2023-01-24 17:00:00,16,Cancelado
547,129023,2023-01-24 18:00:00,67,Retrasado
548,44428,2023-01-24 19:00:00,99,Cancelado
551,346310,2023-01-24 22:00:00,147,Retrasado
552,49279,2023-01-24 23:00:00,84,En tránsito
553,452595,2023-01-25 00:00:00,13,Entregado
554,310551,2023-01-25 01:00:00,84,Retrasado
555,466070,2023-01-25 02:00:00,93,Entregado
556,88512,2023-01-25 03:00:00,97,Entregado
557,439151,2023-01-25 04:00:00,175,Cancelado
559,56148,2023-01-25 06:00:00,111,Cancelado
560,44341,2023-01-25 07:00:00,153,En tránsito
561,81065,2023-01-25 08:00:00,179,Entregado
562,229609,2023-01-25 09:00:00,127,En tránsito
564,451622,2023-01-25 11:00:00,65,En tránsito
565,208045,2023-01-25 12:00:00,88,Entregado
566,164341,2023-01-25 13:00:00,49,Entregado
567,375088,2023-01-25 14:00:00,155,Cancelado
568,161423,2023-01-25 15:00:00,35,Retrasado
569,237498,2023-01-25 16:00:00,36,Cancelado
570,323281,2023-01-25 17:00:00,192,Retrasado
571,474656,2023-01-25 18:00:00,131,Retrasado
572,215151,2023-01-25 19:00:00,130,Retrasado
573,260134,2023-01-25 20:00:00,140,En tránsito
574,384283,2023-01-25 21:00:00,17,En tránsito
575,247105,2023-01-25 22:00:00,177,Entregado
576,485366,2023-01-25 23:00:00,166,Retrasado
577,194162,2023-01-26 00:00:00,105,Cancelado
578,425509,2023-01-26 01:00:00,192,Cancelado
579,5214,2023-01-26 02:00:00,177,En tránsito
580,399028,2023-01-26 03:00:00,149,Entregado
581,2565,2023-01-26 04:00:00,144,Cancelado
582,450043,2023-01-26 05:00:00,12,En tránsito
584,148599,2023-01-26 07:00:00,176,Retrasado
585,235175,2023-01-26 08:00:00,156,Cancelado
586,150701,2023-01-26 09:00:00,158,Entregado
588,458146,2023-01-26 11:00:00,178,Entregado
589,80650,2023-01-26 12:00:00,139,Retrasado
590,106446,2023-01-26 13:00:00,155,Retrasado
591,436557,2023-01-26 14:00:00,182,Cancelado
592,288477,2023-01-26 15:00:00,113,Cancelado
593,362923,2023-01-26 16:00:00,1,Entregado
594,113849,2023-01-26 17:00:00,90,En tránsito
595,305937,2023-01-26 18:00:00,171,En tránsito
596,77191,2023-01-26 19:00:00,173,Cancelado
598,283116,2023-01-26 21:00:00,137,Entregado
600,332109,2023-01-26 23:00:00,75,Entregado
601,128923,2023-01-27 00:00:00,155,En tránsito
602,314983,2023-01-27 01:00:00,107,Entregado
603,260071,2023-01-27 02:00:00,83,En tránsito
604,260510,2023-01-27 03:00:00,131,Retrasado
605,410216,2023-01-27 04:00:00,76,En tránsito
606,68234,2023-01-27 05:00:00,155,En tránsito
607,121605,2023-01-27 06:00:00,94,Entregado
608,138897,2023-01-27 07:00:00,145,Cancelado
609,370504,2023-01-27 08:00:00,118,Retrasado
610,237196,2023-01-27 09:00:00,124,Entregado
611,352691,2023-01-27 10:00:00,91,Entregado
612,95149,2023-01-27 11:00:00,45,En tránsito
613,436371,2023-01-27 12:00:00,56,En tránsito
614,423686,2023-01-27 13:00:00,19,Entregado
615,38116,2023-01-27 14:00:00,185,Cancelado
616,485160,2023-01-27 15:00:00,80,En tránsito
617,360869,2023-01-27 16:00:00,29,Cancelado
618,128034,2023-01-27 17:00:00,36,En tránsito
620,365500,2023-01-27 19:00:00,191,En tránsito
621,406601,2023-01-27 20:00:00,15,En tránsito
622,125844,2023-01-27 21:00:00,56,Retrasado
623,495512,2023-01-27 22:00:00,21,Cancelado
624,114818,2023-01-27 23:00:00,1,Retrasado
625,150646,2023-01-28 00:00:00,151,En tránsito
626,197170,2023-01-28 01:00:00,56,Entregado
627,303295,2023-01-28 02:00:00,34,Entregado
628,438916,2023-01-28 03:00:00,95,Entregado
629,440966,2023-01-28 04:00:00,112,Retrasado
630,43402,2023-01-28 05:00:00,58,Cancelado
632,251075,2023-01-28 07:00:00,162,En tránsito
